Network Output, Converted
409, (4, (10, 5))
309, (3, (8, 9))
302, (3, (7, 6))
690, (7, (11, 10))
1233, (13, (11, 4))
879, (9, (13, 2))
1186, (13, (2, 3))
255, (2, (15, 6))
889, (9, (15, 0))
289, (3, (5, 2))
225, (2, (10, 1))
1355, (14, (17, 2))
100, (1, (3, 8))
543, (5, (19, 4))
916, (10, (3, 2))
927, (10, (5, 4))
1152, (12, (13, 2))
1350, (14, (16, 1))
1252, (13, (14, 9))
1057, (11, (12, 5))
529, (5, (15, 8))
473, (5, (5, 6))
583, (6, (9, 0))
436, (4, (15, 4))
142, (1, (11, 6))
878, (9, (13, 0))
1415, (15, (11, 4))
93, (1, (1, 6))
1564, (17, (5, 4))
389, (4, (6, 9))
278, (3, (2, 7))
663, (7, (7, 0))
1530, (16, (15, 8))
863, (9, (10, 3))
1245, (13, (13, 6))
170, (1, (16, 7))
200, (2, (5, 6))
614, (6, (14, 7))
452, (4, (19, 4))
779, (8, (11, 6))
577, (6, (7, 10))
550, (6, (2, 5))
1550, (17, (2, 3))
460, (5, (2, 7))
114, (1, (6, 5))
51, (0, (11, 6))
1586, (17, (9, 4))
1155, (12, (13, 8))
1308, (14, (8, 5))
358, (3, (18, 3))
271, (2, (19, 6))
188, (2, (3, 2))
1463, (16, (3, 4))
1531, (16, (15, 10))
1062, (11, (13, 4))
654, (7, (5, 4))
781, (8, (11, 10))
544, (5, (19, 6))
1334, (14, (13, 2))
73, (0, (15, 6))
621, (6, (15, 10))
1148, (12, (12, 5))
824, (9, (2, 7))
1544, (16, (19, 4))
1066, (11, (14, 1))
1034, (11, (8, 3))
1329, (14, (12, 3))
1505, (16, (11, 2))
420, (4, (12, 5))
1571, (17, (6, 7))
1228, (13, (10, 5))
1285, (14, (4, 3))
1248, (13, (14, 1))
1326, (14, (11, 8))
847, (9, (7, 4))
652, (7, (5, 0))
1429, (15, (13, 10))
466, (5, (4, 3))
1595, (17, (11, 0))
687, (7, (11, 4))
1254, (13, (15, 2))
412, (4, (11, 0))
305, (3, (8, 1))
557, (6, (4, 3))
1315, (14, (9, 8))
1257, (13, (15, 8))
666, (7, (7, 6))
1581, (17, (8, 5))
1552, (17, (2, 7))
243, (2, (13, 4))
868, (9, (11, 2))
18, (0, (5, 6))
528, (5, (15, 6))
72, (0, (15, 4))
349, (3, (16, 1))
33, (0, (8, 3))
135, (1, (10, 3))
1041, (11, (9, 6))
433, (4, (14, 9))
717, (7, (16, 9))
299, (3, (7, 0))
926, (10, (5, 2))
113, (1, (6, 3))
229, (2, (10, 9))
792, (8, (13, 10))
616, (6, (15, 0))
1135, (12, (10, 1))
813, (8, (18, 3))
516, (5, (13, 4))
7, (0, (3, 4))
364, (4, (0, 5))
1613, (17, (14, 3))
383, (4, (5, 8))
615, (6, (14, 9))
291, (3, (5, 6))
539, (5, (17, 8))
1073, (11, (15, 4))
639, (7, (1, 6))
1104, (12, (4, 5))
1626, (17, (16, 7))
573, (6, (7, 2))
1332, (14, (12, 9))
1214, (13, (7, 10))
152, (1, (13, 4))
750, (8, (6, 3))
465, (5, (4, 1))
155, (1, (13, 10))
1132, (12, (9, 6))
1275, (14, (1, 4))
791, (8, (13, 8))
128, (1, (9, 0))
1174, (12, (17, 4))
116, (1, (6, 9))
746, (8, (5, 6))
605, (6, (13, 0))
997, (10, (18, 7))
804, (8, (16, 1))
226, (2, (10, 3))
960, (10, (11, 4))
703, (7, (14, 3))
1050, (11, (11, 2))
335, (3, (13, 6))
279, (3, (3, 2))
1621, (17, (15, 8))
957, (10, (10, 9))
1453, (15, (19, 4))
812, (8, (17, 8))
9, (0, (3, 8))
499, (5, (10, 3))
861, (9, (9, 10))
843, (9, (6, 7))
1162, (12, (15, 0))
480, (5, (6, 9))
1260, (13, (16, 3))
1158, (12, (14, 3))
322, (3, (11, 2))
384, (4, (5, 10))
1069, (11, (14, 7))
982, (10, (15, 4))
1250, (13, (14, 5))
1584, (17, (9, 0))
75, (0, (15, 10))
421, (4, (12, 7))
468, (5, (4, 7))
312, (3, (9, 4))
643, (7, (3, 2))
1079, (11, (16, 5))
1617, (17, (15, 0))
29, (0, (7, 6))
948, (10, (9, 2))
985, (10, (15, 10))
416, (4, (11, 8))
1033, (11, (8, 1))
818, (8, (20, 5))
1476, (16, (5, 10))
447, (4, (17, 6))
629, (6, (17, 6))
419, (4, (12, 3))
734, (8, (3, 2))
1397, (15, (8, 1))
1487, (16, (7, 10))
1169, (12, (16, 3))
245, (2, (13, 8))
1494, (16, (9, 2))
509, (5, (12, 1))
1389, (15, (6, 7))
569, (6, (6, 5))
1391, (15, (7, 0))
716, (7, (16, 7))
895, (9, (16, 1))
853, (9, (8, 5))
994, (10, (17, 8))
1384, (15, (5, 8))
1491, (16, (8, 7))
827, (9, (3, 6))
561, (6, (5, 0))
1508, (16, (11, 8))
307, (3, (8, 5))
1016, (11, (5, 0))
799, (8, (15, 2))
1316, (14, (9, 10))
1067, (11, (14, 3))
1611, (17, (13, 10))
1637, (17, (20, 5))
657, (7, (5, 10))
193, (2, (4, 3))
512, (5, (12, 7))
1192, (13, (3, 8))
4, (0, (2, 5))
1579, (17, (8, 1))
918, (10, (3, 6))
1322, (14, (11, 0))
519, (5, (13, 10))
1475, (16, (5, 8))
388, (4, (6, 7))
1545, (16, (19, 6))
414, (4, (11, 4))
266, (2, (17, 8))
809, (8, (17, 2))
262, (2, (16, 9))
983, (10, (15, 6))
265, (2, (17, 6))
373, (4, (3, 8))
1060, (11, (13, 0))
1523, (16, (14, 5))
510, (5, (12, 3))
320, (3, (10, 9))
739, (8, (4, 3))
736, (8, (3, 6))
1282, (14, (3, 6))
1023, (11, (6, 3))
161, (1, (15, 0))
737, (8, (3, 8))
202, (2, (5, 10))
83, (0, (17, 6))
876, (9, (12, 7))
877, (9, (12, 9))
1628, (17, (17, 2))
669, (7, (8, 1))
461, (5, (3, 2))
1608, (17, (13, 4))
375, (4, (4, 3))
191, (2, (3, 8))
1509, (16, (11, 10))
872, (9, (11, 10))
903, (9, (17, 8))
1578, (17, (7, 10))
783, (8, (12, 3))
807, (8, (16, 7))
1623, (17, (16, 1))
47, (0, (10, 9))
1213, (13, (7, 8))
910, (10, (0, 5))
766, (8, (9, 2))
564, (6, (5, 6))
13, (0, (4, 7))
685, (7, (11, 0))
197, (2, (5, 0))
961, (10, (11, 6))
1365, (15, (0, 5))
772, (8, (10, 3))
648, (7, (4, 3))
435, (4, (15, 2))
931, (10, (6, 1))
622, (6, (16, 1))
1448, (15, (17, 6))
1138, (12, (10, 7))
604, (6, (12, 9))
1404, (15, (9, 4))
20, (0, (5, 10))
595, (6, (11, 2))
1435, (15, (15, 0))
1353, (14, (16, 7))
1051, (11, (11, 4))
68, (0, (14, 7))
169, (1, (16, 5))
553, (6, (3, 4))
1305, (14, (7, 10))
693, (7, (12, 5))
928, (10, (5, 6))
1490, (16, (8, 5))
171, (1, (16, 9))
140, (1, (11, 2))
1478, (16, (6, 3))
1119, (12, (7, 2))
738, (8, (4, 1))
1631, (17, (17, 8))
269, (2, (18, 7))
378, (4, (4, 9))
1493, (16, (9, 0))
16, (0, (5, 2))
774, (8, (10, 7))
732, (8, (2, 5))
776, (8, (11, 0))
942, (10, (8, 1))
8, (0, (3, 6))
45, (0, (10, 5))
456, (5, (1, 4))
1417, (15, (11, 8))
1221, (13, (9, 2))
954, (10, (10, 3))
239, (2, (12, 7))
86, (0, (18, 5))
1243, (13, (13, 2))
1338, (14, (13, 10))
1042, (11, (9, 8))
545, (5, (20, 5))
1220, (13, (9, 0))
413, (4, (11, 2))
1059, (11, (12, 9))
459, (5, (2, 5))
1433, (15, (14, 7))
1541, (16, (18, 3))
765, (8, (9, 0))
415, (4, (11, 6))
1310, (14, (8, 9))
26, (0, (7, 0))
562, (6, (5, 2))
14, (0, (4, 9))
1440, (15, (15, 10))
1510, (16, (12, 1))
1036, (11, (8, 7))
977, (10, (14, 5))
897, (9, (16, 5))
898, (9, (16, 7))
356, (3, (17, 6))
15, (0, (5, 0))
1181, (12, (19, 6))
1120, (12, (7, 4))
1387, (15, (6, 3))
143, (1, (11, 8))
179, (1, (19, 4))
790, (8, (13, 6))
56, (0, (12, 5))
1223, (13, (9, 6))
256, (2, (15, 8))
187, (2, (2, 7))
1408, (15, (10, 1))
1362, (14, (19, 4))
587, (6, (9, 8))
1074, (11, (15, 6))
949, (10, (9, 4))
1249, (13, (14, 3))
1014, (11, (4, 7))
1499, (16, (10, 1))
1376, (15, (4, 3))
1271, (13, (19, 4))
1089, (11, (19, 4))
1007, (11, (3, 2))
653, (7, (5, 2))
1360, (14, (18, 5))
571, (6, (6, 9))
174, (1, (17, 6))
334, (3, (13, 4))
840, (9, (6, 1))
896, (9, (16, 3))
427, (4, (13, 8))
802, (8, (15, 8))
451, (4, (18, 7))
1442, (15, (16, 3))
1597, (17, (11, 4))
52, (0, (11, 8))
1382, (15, (5, 4))
386, (4, (6, 3))
658, (7, (6, 1))
497, (5, (9, 10))
1004, (11, (2, 3))
1054, (11, (11, 10))
995, (10, (18, 3))
1588, (17, (9, 8))
311, (3, (9, 2))
1441, (15, (16, 1))
899, (9, (16, 9))
1098, (12, (3, 2))
1501, (16, (10, 5))
900, (9, (17, 2))
806, (8, (16, 5))
501, (5, (10, 7))
1144, (12, (11, 8))
28, (0, (7, 4))
952, (10, (9, 10))
254, (2, (15, 4))
1246, (13, (13, 8))
921, (10, (4, 3))
1542, (16, (18, 5))
1178, (12, (18, 5))
1400, (15, (8, 7))
129, (1, (9, 2))
385, (4, (6, 1))
1032, (11, (7, 10))
592, (6, (10, 7))
788, (8, (13, 2))
867, (9, (11, 0))
111, (1, (5, 10))
1231, (13, (11, 0))
406, (4, (9, 10))
1117, (12, (6, 9))
968, (10, (12, 9))
1517, (16, (13, 4))
515, (5, (13, 2))
1106, (12, (4, 9))
936, (10, (7, 0))
371, (4, (3, 4))
120, (1, (7, 6))
276, (3, (2, 3))
1464, (16, (3, 6))
1378, (15, (4, 7))
1112, (12, (5, 10))
1300, (14, (7, 0))
1363, (14, (19, 6))
886, (9, (14, 5))
722, (7, (18, 3))
167, (1, (16, 1))
723, (7, (18, 5))
1558, (17, (4, 3))
729, (8, (1, 4))
1142, (12, (11, 4))
823, (9, (2, 5))
1288, (14, (4, 9))
1522, (16, (14, 3))
975, (10, (14, 1))
1461, (16, (2, 7))
1199, (13, (5, 2))
831, (9, (4, 5))
43, (0, (10, 1))
570, (6, (6, 7))
885, (9, (14, 3))
482, (5, (7, 2))
1500, (16, (10, 3))
337, (3, (13, 10))
1171, (12, (16, 7))
1630, (17, (17, 6))
1364, (14, (20, 5))
1547, (17, (0, 5))
742, (8, (4, 9))
106, (1, (5, 0))
1002, (11, (1, 4))
60, (0, (13, 2))
1013, (11, (4, 5))
686, (7, (11, 2))
1607, (17, (13, 2))
1375, (15, (4, 1))
678, (7, (9, 8))
882, (9, (13, 8))
240, (2, (12, 9))
1289, (14, (5, 0))
1201, (13, (5, 6))
286, (3, (4, 7))
586, (6, (9, 6))
127, (1, (8, 9))
1123, (12, (7, 10))
1160, (12, (14, 7))
471, (5, (5, 2))
19, (0, (5, 8))
1477, (16, (6, 1))
930, (10, (5, 10))
907, (9, (19, 4))
324, (3, (11, 6))
